claim_id,assunto,afirmacao,fabricante,modelo,fonte,revisao,pagina,secao,classificacao,nivel_de_confianca,aplicabilidade,observacoes
AIS-IMO-001,Finalidade,"O AIS fornece automaticamente identificação, posição e outras informações a navios e autoridades costeiras.",IMO,Geral,SRC-IMO-AIS,site vigente,n/a,AIS transponders,CONFIRMADO POR NORMA,Alta,AIS embarcado,"Acesso em 2026-07-23."
AIS-SAFE-001,Limitação,"O AIS é um auxílio; decisões de navegação não devem depender dele como única fonte.",IMO,Geral,SRC-IMO-A1106,A.1106(29),n/a,Operational use,CONFIRMADO POR NORMA,Alta,AIS embarcado,"Aplicar julgamento e demais meios de navegação."
FA150-SYS-001,Arquitetura,"O conjunto documentado inclui transponder FA-1501 e monitor FA-1502.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 4-5,System configuration / equipment lists,CONFIRMADO PELO MANUAL,Alta,FA-150,EXCLUSIVO DESTE MODELO
FA150-SYS-002,Antenas,"O arranjo documentado admite GSC-001 ou GPA-017S e a opção combinada GVA-100-T com DB-1.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 4-5,System configuration / equipment lists,CONFIRMADO PELO MANUAL,Alta,FA-150,EXCLUSIVO DESTE MODELO
FA150-PWR-001,Alimentação,"O diagrama de sistema mostra alimentação local de 12–24 Vcc para o transponder e 12–24 Vcc para o monitor; a PR-240 é opcional.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 4,System configuration,CONFIRMADO PELO MANUAL,Alta,FA-150,"Confirmar etiqueta do equipamento antes de intervir."
FA150-IO-001,Interface,"No procedimento de configuração documentado, IEC 61162-1 corresponde a 4800 bps e IEC 61162-2 a 38,4 kbps.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 31,3.5 How to Set I/O Port,CONFIRMADO PELO MANUAL,Alta,FA-150,"Não generalizar para outros equipamentos."
FA150-IO-002,Portas,"COM1 pode ser configurada para long range, display externo ou desabilitada; outras portas têm funções documentadas separadamente.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 22 e 31,2.1.1 / 3.5,CONFIRMADO PELO MANUAL,Alta,FA-150,"Verificar porta e versão antes de alterar."
FA150-DIAG-001,Diagnóstico,"O FA-150 fornece testes de diagnóstico para monitor e transponder.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 76,3.4 Diagnostics,CONFIRMADO PELO MANUAL,Alta,FA-150,"Acesso de serviço permanece restrito."
FA150-DIAG-002,Histórico,"O histórico de energia registra os 30 eventos recentes e omite ciclos com intervalo menor que 15 minutos.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 80,3.4.3 Power on/off history,CONFIRMADO PELO MANUAL,Alta,FA-150,EXCLUSIVO DESTE MODELO
FA150-SENS-001,Sensores,"A tela SENSOR STATUS informa a origem/validade de GNSS, SOG/COG, heading e ROT por mensagens de estado.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 82,3.7 Displaying Sensor Status,CONFIRMADO PELO MANUAL,Alta,FA-150,"Interpretar junto das sentenças recebidas."
FA150-DATA-001,Dados dinâmicos,"OWN DYNAMIC DATA exibe posição, SOG, COG, heading, ROT, precisão e estado RAIM.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 36,1.7.5 Dynamic data display,CONFIRMADO PELO MANUAL,Alta,FA-150,EXCLUSIVO DESTE MODELO
FA150-MSG-001,Mensagens,"Mensagens curtas de segurança são meio adicional e não removem requisitos GMDSS.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 36,1.8 Messages,CONFIRMADO PELO MANUAL,Alta,FA-150,"Regra operacional."
FA150-PILOT-001,Pilot plug,"O pilot plug opcional opera a 38400 bps e possui conexões documentadas pelo fabricante.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 46,1.12 Pilot Plug,CONFIRMADO PELO MANUAL,Alta,FA-150,"Pinagem deve ser consultada na fonte; não transferir."
FA150-RESET-001,Restauração,"A limpeza geral restaura ajustes e dados GNSS; MMSI, IMO, nome e call sign não são apagados conforme o manual.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 82,3.8 Restoring Default Settings,CONFIRMADO PELO MANUAL,Alta,FA-150,"Executar somente com autorização e backup."
FA150-ACCESS-001,Acesso,"Sem credencial, menus INITIAL SETTINGS aparecem em modo VIEW e não permitem alteração; a credencial é fornecida pelo fabricante/assistência autorizada.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 84,Appendix 1 menu tree,CONFIRMADO PELO MANUAL,Alta,FA-150,"Nenhuma credencial é publicada."
IEC61162-001,Interface,"IEC 61162-1 define transmissão serial unidirecional de um talker para um ou mais listeners.",IEC,Geral,SRC-IEC-61162-1-2024,Ed. 6.0,n/a,Scope,CONFIRMADO POR NORMA,Alta,IEC 61162-1,"Resumo público da IEC."
FA150-TRAIN-001,Procedimento,"O serviço deve registrar estado inicial, resultados, pendências e evidências.",Pronav,FA-150,SRC-PRONAV-POP,não indicada,PDF 1-4,Seções 8–11,PROCEDIMENTO GERAL,Média,Serviço autorizado,"Critérios técnicos dependem de fonte fabricante/norma."
FA150-SYS-003,Arquitetura interna,"O FA-1501 integra transmissor VHF, dois receptores TDMA, receptor DSC CH70, interfaces, processador e GNSS interno.",Furuno,FA-1501,SRC-FUR-OME-M,M,PDF 9,Foreword - Features,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-1501,
FA150-CTRL-001,Controles,"O FA-1502 possui LCD, CursorPad e teclas MENU, ENT, DISP, DIM, NAV STATUS e PWR.",Furuno,FA-1502,SRC-FUR-OME-M,M,PDF 12,1.1 Description of Controls,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-1502,
FA150-RFSAFE-001,Segurança RF,"O manual informa 0,1 m para 10 W/m² e 1,0 m para 2 W/m²; para 100 W/m² informa que não há distância.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 3,Safety Instructions,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-150,"Coordenar com o passadiço."
FA150-ANT-001,Antena GNSS,"A antena GNSS deve ficar fora do feixe do radar, com visada livre e o mais alto possível.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 7,1.1.1 GPS antenna unit,CONFIRMADO PELO MANUAL,Alta,Furuno FA-150,
FA150-ANT-002,Antena VHF,"O manual estabelece afastamentos de estruturas, transmissores e outras antenas, incluindo 2,8 m vertical ou 10 m no mesmo plano.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 9-10,1.1.2 VHF antenna,CONFIRMADO PELO MANUAL,Alta,Furuno FA-150,
FA150-CABLE-001,Cabo coaxial,"O coaxial deve ser curto, vedado, segregado e respeitar raio mínimo de cinco vezes o diâmetro externo.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 10,1.1.2 VHF antenna - Cabling,CONFIRMADO PELO MANUAL,Alta,Furuno FA-150,
FA150-COMPASS-001,Distância de compasso,"O manual fornece distâncias específicas para FA-1501, FA-1502, GVA-100-T, DB-1 e PR-240.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 3,Safety Instructions,EXCLUSIVO DESTE MODELO,Alta,Unidades listadas,
FA150-WIRE-001,Terminais,"O desenho identifica terminais de alimentação, COM1-COM6, alarme externo, monitor e pilot plug.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 58,Interconnection diagram S-1,EXCLUSIVO DESTE MODELO,Alta,FA-150 revisão P1,"Confirmar o desenho aplicável."
FA150-WIRE-002,Terminação IEC 61162-2,"COM1-COM6 não saem terminadas; o jumper 7-8 é aplicado conforme a topologia.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 23,2.1.2 Terminating of COM1-6 port,EXCLUSIVO DESTE MODELO,Alta,FA-150 IEC 61162-2,
FA150-PILOT-002,Pilot plug,"O pilot plug documenta TX-A 1, TX-B 4, RX-A 5, RX-B 6 e blindagem 9.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 46,1.12 Pilot Plug,EXCLUSIVO DESTE MODELO,Alta,Pilot plug opcional,
FA150-IO-003,Modos de porta,"COM1-COM6 e PC possuem modos e taxas específicos por função.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 31-32,3.5 How to Set I/O Port,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-150,
FA150-IO-004,Prioridade de sensores,"O instalador define prioridades independentes para posição/SOG/COG, heading e ROT em COM4-COM6.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 33,3.5 Priority setup,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-150,
FA150-SENT-001,Sentenças IEC 61162,"O manual lista as sentenças de entrada e saída do FA-150.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 37-38,5. IEC 61162-1/2 Data Sentences,EXCLUSIVO DESTE MODELO,Alta,FA-150 revisão P1,
FA150-SENT-002,Interface serial,"A interface usa 8 bits, sem paridade e 1 stop bit e possui intervalos documentados.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 90-91,Appendix 2 - Digital Interface,EXCLUSIVO DESTE MODELO,Alta,FA-150 revisão M,
FA150-MENU-001,Árvore de menus,"O apêndice documenta menus de mensagens, sensores, GPS, usuário, ajustes, canais e diagnósticos.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 84-87,Appendix 1 Menu Tree,EXCLUSIVO DESTE MODELO,Alta,FA-150 revisão M,
FA150-ACCESS-002,Credencial de instalador,"INITIAL SETTINGS exige senha; o manual informa apenas que é conhecida pelo representante Furuno e não revela o valor.",Furuno,FA-150,SRC-FUR-IME-P1,P1,PDF 26-27,3.1 Inland AIS Specific Settings,CONFIRMADO PELO MANUAL,Alta,Furuno FA-150,"Credencial fornecida exclusivamente pelo fabricante."
FA150-DIAG-003,Teste do monitor,"MONITOR TEST verifica versões, ROM, SDRAM, porta, teclas, contraste, dimmer e LCD.",Furuno,FA-1502,SRC-FUR-OME-M,M,PDF 76-77,3.4.1 Monitor unit test,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-1502,
FA150-DIAG-004,Testes do transponder,"TRANSPONDER TEST oferece testes de memória, GNSS e comunicação VHF.",Furuno,FA-1501,SRC-FUR-OME-M,M,PDF 78-79,3.4.2 Transponder test,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-1501,
FA150-DIAG-005,Histórico de transmissão,"TX ON/OFF HISTORY mostra os 30 eventos recentes.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 80,3.4.4 TX on/off history,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-150,
FA150-SENS-002,Estados de sensores,"SENSOR STATUS distingue fontes internas/externas e validade de heading e ROT.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 82,3.7 Displaying Sensor Status,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-150,
FA150-RESET-002,Limpeza de memória,"MEMORY CLEAR separa MONITOR CLEAR, SET USER DEFAULT e GPS COLD START.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 82-83,3.8 Restoring Default Settings,EXCLUSIVO DESTE MODELO,Alta,Furuno FA-150,"Somente com autorização e plano de retorno."
FA150-ALARM-001,Catálogo de alarmes,"O apêndice 3 lista alarmes com prioridade, significado e ação.",Furuno,FA-150,SRC-FUR-OME-M,M,PDF 110-111,Appendix 3 - Alarm messages,EXCLUSIVO DESTE MODELO,Alta,FA-150 revisão M,
